epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.2491,1.22879,1.3661,1.38986,0.5326,0.52174,0.45767,0.21475,1.81984,2.30249,1.88377,0.0011882,0.0011882,0.0011882
43,98.8867,1.33799,1.47788,1.50858,0.82083,0.59806,0.60111,0.30461,1.73525,1.8987,1.75458,0.0011684,0.0011684,0.0011684
44,100.216,1.29953,1.29457,1.43707,0.86455,0.56522,0.66641,0.35015,1.62792,1.77378,1.73625,0.0011486,0.0011486,0.0011486
45,101.751,1.20216,1.29889,1.40136,0.69816,0.65217,0.65445,0.31463,1.82251,1.84337,2.03297,0.0011288,0.0011288,0.0011288
46,103.257,1.21657,1.21276,1.38492,0.56213,0.61418,0.62762,0.28023,1.82713,1.86692,1.97291,0.001109,0.001109,0.001109
47,104.716,1.2795,1.27966,1.38399,0.86799,0.69565,0.75865,0.37699,1.68822,1.72622,1.80244,0.0010892,0.0010892,0.0010892
48,106.299,1.27153,1.26184,1.42088,0.75203,0.79141,0.80292,0.38091,1.61706,1.5349,1.65199,0.0010694,0.0010694,0.0010694
49,108.004,1.24667,1.28508,1.38761,0.77892,0.76638,0.8159,0.3615,1.7785,1.51641,1.84692,0.0010496,0.0010496,0.0010496
50,110.19,1.19626,1.15386,1.33575,0.72944,0.78261,0.75154,0.33713,1.82887,1.55492,1.95193,0.0010298,0.0010298,0.0010298
51,112.209,1.19995,1.18792,1.36633,0.65338,0.73766,0.70546,0.31795,1.72215,1.653,1.89921,0.00101,0.00101,0.00101
52,113.712,1.21595,1.17439,1.38101,0.62737,0.73224,0.68109,0.29532,1.87636,1.74653,1.99223,0.0009902,0.0009902,0.0009902
53,115.222,1.21608,1.21015,1.37934,0.55095,0.52174,0.50981,0.21318,2.04594,1.92476,2.11614,0.0009704,0.0009704,0.0009704
54,116.64,1.19589,1.24151,1.3695,0.64671,0.52174,0.53167,0.23082,2.11899,1.82537,2.2277,0.0009506,0.0009506,0.0009506
55,118.091,1.18464,1.25658,1.41264,0.85449,0.82609,0.84368,0.3796,1.79358,1.50958,1.96403,0.0009308,0.0009308,0.0009308
56,119.62,1.10047,1.10307,1.30102,0.9284,0.69565,0.8107,0.38144,1.66264,1.37953,1.76872,0.000911,0.000911,0.000911
57,121.124,1.01682,1.03775,1.25974,0.77789,0.82609,0.84633,0.37185,1.71315,1.43348,1.82132,0.0008912,0.0008912,0.0008912
58,123.162,1.06651,1.02966,1.24978,0.84027,0.68654,0.75534,0.40866,1.66232,1.43132,1.80783,0.0008714,0.0008714,0.0008714
59,125.703,1.18611,1.06126,1.33858,0.85749,0.69565,0.77469,0.42775,1.64519,1.36084,1.76415,0.0008516,0.0008516,0.0008516
60,127.21,1.08986,1.0432,1.27663,0.79183,0.69565,0.71666,0.39143,1.73776,1.47308,1.88543,0.0008318,0.0008318,0.0008318
61,129.042,1.09617,1.07057,1.26569,0.7615,0.69565,0.71136,0.35414,1.74603,1.43957,1.92463,0.000812,0.000812,0.000812
62,130.543,1.06406,1.00052,1.28504,0.66181,0.68107,0.6538,0.38401,1.68569,1.43905,1.84746,0.0007922,0.0007922,0.0007922
63,132.035,1.06375,1.03599,1.28826,0.819,0.6087,0.71505,0.40271,1.70549,1.37612,1.79485,0.0007724,0.0007724,0.0007724
64,133.427,1.08638,1.06701,1.31268,0.93059,0.69565,0.82578,0.41543,1.73236,1.26332,1.74826,0.0007526,0.0007526,0.0007526
65,134.928,1.12214,1.0481,1.29399,0.94396,0.73268,0.83357,0.45747,1.64082,1.19185,1.67286,0.0007328,0.0007328,0.0007328
66,136.7,1.0787,0.99205,1.27066,0.94633,0.78261,0.8276,0.45379,1.57686,1.18914,1.6163,0.000713,0.000713,0.000713
